1.58565E+18,"15Lakh!!
2Crore job per year!!
1pound=1dollar😜!!
CAA with NRC!!
Labour party mukht England!!

Rishi Sunak to PM Modi: ""I'm excited about what our two great democracies can achieve""

https://t.co/S0TBM489XO"
1.58561E+18,"RT @ThePollLady: @AskAnshul And radical mobs in India protests CAA, knowing full well the treatment Hindus face in countries like Pakistan…"
1.5856E+18,"RT @ThePollLady: @AskAnshul And radical mobs in India protests CAA, knowing full well the treatment Hindus face in countries like Pakistan…"
1.5856E+18,RT @BHASKARAGNIHOT: @Starboy2079 He is a Traitor who has dreams of becoming the First PM of Khalistan.Its sad people in Delhi Punjab suppor…
1.58559E+18,@TimesNow Ban Anti india miscreants outfits need CAA NRC UCC
1.58559E+18,"@thewire_in @svaradarajan Varada, living in poopland America is talking about India and Indians. The fellow is jealous now. Cant come back. US citizen hahaha. Try refugee status through CAA Mr Them Their. I have to address you like that in America, right?"
1.58557E+18,"RT @kartik314: @tiwaryshweta AK has done so much work in education and healthcare sectors, but this liberal lobby is only interested in wha…"
1.58557E+18,"RT @MehboobaMufti: Proud moment that UK will have its first Indian origin PM. While all of India rightly celebrates, it would serve us well…"
1.58557E+18,"@Balantholar Fact 1: The applicant was granted Indian Citizenship under section 3 of the Citizenship Act, 1995 

“any person born in India between January 26, 1950 and July 1, 1987 is a “citizen by birth”.

This has nothing to do with SL Tamil or CAA. This would be applicable to any national"
1.58555E+18,"RT @ThePollLady: @AskAnshul And radical mobs in India protests CAA, knowing full well the treatment Hindus face in countries like Pakistan…"
1.58555E+18,"RT @ThePollLady: @AskAnshul And radical mobs in India protests CAA, knowing full well the treatment Hindus face in countries like Pakistan…"
1.58554E+18,"RT @ThePollLady: @AskAnshul And radical mobs in India protests CAA, knowing full well the treatment Hindus face in countries like Pakistan…"
1.58554E+18,"@Final_Opinion @moronhumor @ANI Than, why do Muslim always support Afzal guru, Sharjeel imam even after anti natinal activity .
Why do they riots against CAA, even after the law not against Indian Muslim.I agree it is India where civilisation dont work because ppeasement politics works even it supporting terrr."
1.58554E+18,@AleemIlahi @AamAadmiParty Become an integral part of mainstream India. That’s the only way forward. Support UCC. Support NRC and CAA. BE Indian first and Muslim next. You do that and no one will play political football with you. Jai Hind.
1.58554E+18,"RT @ThePollLady: @AskAnshul And radical mobs in India protests CAA, knowing full well the treatment Hindus face in countries like Pakistan…"
1.58553E+18,"RT @ThePollLady: @AskAnshul And radical mobs in India protests CAA, knowing full well the treatment Hindus face in countries like Pakistan…"
1.58551E+18,"RT @MehboobaMufti: Proud moment that UK will have its first Indian origin PM. While all of India rightly celebrates, it would serve us well…"
